Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts
2024isde1,qm,2024isde1_qm52,52,B,Blue1A,A,frc7177,True,38,0,0,20,0,3,15,19,3,0,7,0,14,7,14,17,0,0,13,32,2
2024isde1,qm,2024isde1_qm52,52,B,Blue2C,C,frc9740,True,38,0,0,20,0,3,15,19,3,0,7,0,14,7,14,17,0,0,13,32,2
2024isde1,qm,2024isde1_qm52,52,B,Blue3S,S,frc2630,True,38,0,0,20,0,3,15,19,3,0,7,0,14,7,14,17,0,0,13,32,2
2024isde1,qm,2024isde1_qm53,53,B,Blue1A,A,frc5135,True,53,1,0,0,0,3,15,17,2,0,14,0,28,14,28,30,0,0,19,45,1
2024isde1,qm,2024isde1_qm53,53,B,Blue2C,C,frc3339,True,53,1,0,0,0,3,15,17,2,0,14,0,28,14,28,30,0,0,19,45,1
2024isde1,qm,2024isde1_qm53,53,B,Blue3S,S,frc1580,True,53,1,0,0,0,3,15,17,2,0,14,0,28,14,28,30,0,0,19,45,1
2024isde1,qm,2024isde1_qm54,54,B,Blue1A,A,frc5951,False,33,0,0,5,0,3,15,19,2,1,0,5,0,1,5,7,0,0,6,22,2
2024isde1,qm,2024isde1_qm54,54,B,Blue2C,C,frc1576,False,33,0,0,5,0,3,15,19,2,1,0,5,0,1,5,7,0,0,6,22,2
2024isde1,qm,2024isde1_qm54,54,B,Blue3S,S,frc4319,False,33,0,0,5,0,3,15,19,2,1,0,5,0,1,5,7,0,0,6,22,2
2024isde1,qm,2024isde1_qm55,55,B,Blue1A,A,frc9303,True,25,0,0,2,0,1,5,9,3,1,1,5,2,2,7,10,0,0,6,15,1
2024isde1,qm,2024isde1_qm55,55,B,Blue2C,C,frc7177,True,25,0,0,2,0,1,5,9,3,1,1,5,2,2,7,10,0,0,6,15,1
2024isde1,qm,2024isde1_qm55,55,B,Blue3S,S,frc4320,True,25,0,0,2,0,1,5,9,3,1,1,5,2,2,7,10,0,0,6,15,1
2024isde1,qm,2024isde1_qm56,56,B,Blue1A,A,frc5715,False,51,0,0,5,0,3,15,19,2,2,5,10,10,7,20,22,0,0,12,37,5
2024isde1,qm,2024isde1_qm56,56,B,Blue2C,C,frc6230,False,51,0,0,5,0,3,15,19,2,2,5,10,10,7,20,22,0,0,12,37,5
2024isde1,qm,2024isde1_qm56,56,B,Blue3S,S,frc2230,False,51,0,0,5,0,3,15,19,2,2,5,10,10,7,20,22,0,0,12,37,5
2024isde1,qm,2024isde1_qm57,57,B,Blue1A,A,frc9740,False,41,0,0,10,0,1,5,7,0,0,14,0,28,14,28,28,0,0,15,33,4
2024isde1,qm,2024isde1_qm57,57,B,Blue2C,C,frc6738,False,41,0,0,10,0,1,5,7,0,0,14,0,28,14,28,28,0,0,15,33,4
2024isde1,qm,2024isde1_qm57,57,B,Blue3S,S,frc3316,False,41,0,0,10,0,1,5,7,0,0,14,0,28,14,28,28,0,0,15,33,4
2024isde1,qm,2024isde1_qm58,58,B,Blue1A,A,frc8175,False,27,0,0,17,0,2,10,14,0,0,5,0,10,5,10,10,0,0,7,20,3
